year,region,residence,metric,unit,value
2025,SOUTHEAST ASIA,Philippines,Free Access Attractions and Sites | Chinatown,%,42.0
2025,SOUTHEAST ASIA,Philippines,Free Access Attractions and Sites | Merlion Park,%,58.0
2025,SOUTHEAST ASIA,Philippines,Free Access Attractions and Sites | Little India,%,28.0
2025,SOUTHEAST ASIA,Philippines,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,12.0
2025,SOUTHEAST ASIA,Philippines,Free Access Attractions and Sites | Singapore River,%,22.0
2025,SOUTHEAST ASIA,Philippines,Free Access Attractions and Sites | Singapore Botanic Gardens,%,11.0
2025,SOUTHEAST ASIA,Philippines,Free Access Attractions and Sites | Raffles Hotel,%,9.0
2025,SOUTHEAST ASIA,Thailand,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,51.0
2025,SOUTHEAST ASIA,Thailand,Major Attractions and Sites | Gardens by the Bay,%,42.0
2025,SOUTHEAST ASIA,Thailand,Major Attractions and Sites | Sentosa,%,18.0
2025,SOUTHEAST ASIA,Thailand,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,9.0
2025,SOUTHEAST ASIA,Thailand,Major Attractions and Sites | Singapore Zoo,%,3.0
2025,SOUTHEAST ASIA,Thailand,Major Attractions and Sites | Night Safari,%,1.0
2025,SOUTHEAST ASIA,Thailand,Major Attractions and Sites | River Wonders (formerly River Safari),%,2.0
2025,SOUTHEAST ASIA,Thailand,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,2.0
2025,SOUTHEAST ASIA,Thailand,Major Attractions and Sites | National Orchid Gardens,%,3.0
2025,SOUTHEAST ASIA,Thailand,Free Access Attractions and Sites | Orchard Road,%,46.0
2025,SOUTHEAST ASIA,Thailand,Free Access Attractions and Sites | Chinatown,%,59.0
2025,SOUTHEAST ASIA,Thailand,Free Access Attractions and Sites | Merlion Park,%,53.0
2025,SOUTHEAST ASIA,Thailand,Free Access Attractions and Sites | Little India,%,26.0
2025,SOUTHEAST ASIA,Thailand,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,5.0
2025,SOUTHEAST ASIA,Thailand,Free Access Attractions and Sites | Singapore River,%,30.0
2025,SOUTHEAST ASIA,Thailand,Free Access Attractions and Sites | Singapore Botanic Gardens,%,8.0
2025,SOUTHEAST ASIA,Thailand,Free Access Attractions and Sites | Raffles Hotel,%,8.0
2025,SOUTHEAST ASIA,Vietnam,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,46.0
2025,SOUTHEAST ASIA,Vietnam,Major Attractions and Sites | Gardens by the Bay,%,44.0
2025,SOUTHEAST ASIA,Vietnam,Major Attractions and Sites | Sentosa,%,16.0
2025,SOUTHEAST ASIA,Vietnam,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,6.0
2025,SOUTHEAST ASIA,Vietnam,Major Attractions and Sites | Singapore Zoo,%,6.0
2025,SOUTHEAST ASIA,Vietnam,Major Attractions and Sites | Night Safari,%,2.0
