series,level,date,value
Tourism Receipts,total,2014Q1,6216
Tourism Receipts,total,2014Q2,11895
Tourism Receipts,total,2014Q3,17856
Tourism Receipts,total,2014Q4,23560
Tourism Receipts,total,2015Q1,5314
Tourism Receipts,total,2015Q2,10353
Tourism Receipts,total,2015Q3,16392
Tourism Receipts,total,2015Q4,21777
Tourism Receipts,total,2016Q1,5639
Tourism Receipts,total,2016Q2,12269
Tourism Receipts,total,2016Q3,19379
Tourism Receipts,total,2016Q4,25748
Tourism Receipts,total,2017Q1,6725
Tourism Receipts,total,2017Q2,13405
Tourism Receipts,total,2017Q3,20346
Tourism Receipts,total,2017Q4,26807
Tourism Receipts,total,2018Q1,6868
Tourism Receipts,total,2018Q2,13462
Tourism Receipts,total,2018Q3,20611
Tourism Receipts,total,2018Q4,26942
Tourism Receipts,total,2019Q1,6600
Tourism Receipts,total,2019Q2,13166
Tourism Receipts,total,2019Q3,20549
Tourism Receipts,total,2019Q4,27689
Tourism Receipts,total,2020Q1,4029
Tourism Receipts,total,2020Q2,4187
Tourism Receipts,total,2020Q3,4436
Tourism Receipts,total,2020Q4,4830
Tourism Receipts,total,2021Q1,425
Tourism Receipts,total,2021Q2,828
Tourism Receipts,total,2021Q3,1190
Tourism Receipts,total,2021Q4,1894
Tourism Receipts,total,2022Q1,1417
Tourism Receipts,total,2022Q2,4573
Tourism Receipts,total,2022Q3,9084
Tourism Receipts,total,2022Q4,14178
Tourism Receipts,total,2023Q1,6018
Tourism Receipts,total,2023Q2,12446
Tourism Receipts,total,2023Q3,20308
Tourism Receipts,total,2023Q4,27156
Tourism Receipts,total,2024Q1,8077
Tourism Receipts,total,2024Q2,14923
Tourism Receipts,total,2024Q3,22421
Tourism Receipts,total,2024Q4,29781
Tourism Receipts,total,2025Q1,8087
Tourism Receipts,total,2025Q2,15766
Tourism Receipts,total,2025Q3,24105
Tourism Receipts,total,2025Q4,32755
Tourism Receipts,total,2026Q1,8555
