year,region,residence,metric,unit,value
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,24.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,16.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,3.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,16.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,42.0
2012,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,10.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,6.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,5.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,10.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,12.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,11.0
2012,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,6.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,53.0
2011,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,22.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,35.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,25.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,18.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,3.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,15.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,42.0
2011,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,10.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,6.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,6.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,8.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,17.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,6.0
2011,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,6.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,54.0
2010,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,32.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,32.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,23.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,15.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,4.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,15.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,42.0
2010,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,8.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,6.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,6.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,6.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,18.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,7.0
2010,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,7.0
2009,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,52.0
2009,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,20.0
