series,level,date,value
35-44 Years,group,2008-09,169643
35-44 Years,group,2008-10,187458
35-44 Years,group,2008-11,171094
35-44 Years,group,2008-12,179469
35-44 Years,group,2009-01,165525
35-44 Years,group,2009-02,148619
35-44 Years,group,2009-03,166112
35-44 Years,group,2009-04,167238
35-44 Years,group,2009-05,161860
35-44 Years,group,2009-06,166539
35-44 Years,group,2009-07,189019
35-44 Years,group,2009-08,185955
35-44 Years,group,2009-09,172805
35-44 Years,group,2009-10,185544
35-44 Years,group,2009-11,180012
35-44 Years,group,2009-12,195561
35-44 Years,group,2010-01,193140
35-44 Years,group,2010-02,183764
35-44 Years,group,2010-03,200928
35-44 Years,group,2010-04,209375
35-44 Years,group,2010-05,215732
35-44 Years,group,2010-06,211982
35-44 Years,group,2010-07,235538
35-44 Years,group,2010-08,220936
35-44 Years,group,2010-09,204048
35-44 Years,group,2010-10,218466
35-44 Years,group,2010-11,213696
35-44 Years,group,2010-12,231190
35-44 Years,group,2011-01,229438
35-44 Years,group,2011-02,215119
35-44 Years,group,2011-03,227915
35-44 Years,group,2011-04,239910
35-44 Years,group,2011-05,237352
35-44 Years,group,2011-06,238199
35-44 Years,group,2011-07,276060
35-44 Years,group,2011-08,258266
35-44 Years,group,2011-09,224223
35-44 Years,group,2011-10,235857
35-44 Years,group,2011-11,226331
35-44 Years,group,2011-12,247029
35-44 Years,group,2012-01,254054
35-44 Years,group,2012-02,239285
35-44 Years,group,2012-03,257527
35-44 Years,group,2012-04,254828
35-44 Years,group,2012-05,250535
35-44 Years,group,2012-06,248372
35-44 Years,group,2012-07,276377
35-44 Years,group,2012-08,281581
35-44 Years,group,2012-09,228160
35-44 Years,group,2012-10,254893
35-44 Years,group,2012-11,254487
35-44 Years,group,2012-12,271216
35-44 Years,group,2013-01,269001
35-44 Years,group,2013-02,256443
35-44 Years,group,2013-03,275235
35-44 Years,group,2013-04,264480
35-44 Years,group,2013-05,273555
35-44 Years,group,2013-06,275829
35-44 Years,group,2013-07,305558
35-44 Years,group,2013-08,317944
35-44 Years,group,2013-09,245712
35-44 Years,group,2013-10,257748
35-44 Years,group,2013-11,250374
35-44 Years,group,2013-12,271033
35-44 Years,group,2014-01,280977
35-44 Years,group,2014-02,260314
35-44 Years,group,2014-03,267508
35-44 Years,group,2014-04,272028
35-44 Years,group,2014-05,267572
35-44 Years,group,2014-06,257449
35-44 Years,group,2014-07,299358
35-44 Years,group,2014-08,297033
35-44 Years,group,2014-09,236138
35-44 Years,group,2014-10,257139
35-44 Years,group,2014-11,245750
35-44 Years,group,2014-12,267324
35-44 Years,group,2015-01,250470
35-44 Years,group,2015-02,244750
35-44 Years,group,2015-03,246968
35-44 Years,group,2015-04,255878
35-44 Years,group,2015-05,260609
35-44 Years,group,2015-06,248726
35-44 Years,group,2015-07,320949
35-44 Years,group,2015-08,315810
35-44 Years,group,2015-09,235165
35-44 Years,group,2015-10,258373
35-44 Years,group,2015-11,244642
35-44 Years,group,2015-12,267789
35-44 Years,group,2016-01,276822
35-44 Years,group,2016-02,270470
35-44 Years,group,2016-03,275429
35-44 Years,group,2016-04,284831
35-44 Years,group,2016-05,286032
35-44 Years,group,2016-06,260660
35-44 Years,group,2016-07,338811
35-44 Years,group,2016-08,322644
35-44 Years,group,2016-09,234061
35-44 Years,group,2016-10,255349
35-44 Years,group,2016-11,250135
35-44 Years,group,2016-12,285021
35-44 Years,group,2017-01,295192
35-44 Years,group,2017-02,270304
35-44 Years,group,2017-03,279625
35-44 Years,group,2017-04,296832
35-44 Years,group,2017-05,285369
35-44 Years,group,2017-06,276543
35-44 Years,group,2017-07,340854
35-44 Years,group,2017-08,335523
35-44 Years,group,2017-09,267118
35-44 Years,group,2017-10,283769
35-44 Years,group,2017-11,267867
35-44 Years,group,2017-12,291368
35-44 Years,group,2018-01,306187
35-44 Years,group,2018-02,298047
35-44 Years,group,2018-03,303897
35-44 Years,group,2018-04,316965
35-44 Years,group,2018-05,309264
35-44 Years,group,2018-06,313360
35-44 Years,group,2018-07,364322
35-44 Years,group,2018-08,363124
35-44 Years,group,2018-09,284571
35-44 Years,group,2018-10,298422
35-44 Years,group,2018-11,280113
35-44 Years,group,2018-12,302001
35-44 Years,group,2019-01,317234
35-44 Years,group,2019-02,294017
35-44 Years,group,2019-03,296244
35-44 Years,group,2019-04,320037
35-44 Years,group,2019-05,305576
35-44 Years,group,2019-06,311988
