series,level,freq,date,value
11-14 Days (Number),group,monthly,2018-11,17220.0
11-14 Days (Number),group,monthly,2018-12,18866.0
11-14 Days (Number),group,monthly,2019-01,28944.0
11-14 Days (Number),group,monthly,2019-02,20149.0
11-14 Days (Number),group,monthly,2019-03,18459.0
11-14 Days (Number),group,monthly,2019-04,18858.0
11-14 Days (Number),group,monthly,2019-05,20040.0
11-14 Days (Number),group,monthly,2019-06,23131.0
11-14 Days (Number),group,monthly,2019-07,25744.0
11-14 Days (Number),group,monthly,2019-08,25561.0
11-14 Days (Number),group,monthly,2019-09,17568.0
11-14 Days (Number),group,monthly,2019-10,18746.0
11-14 Days (Number),group,monthly,2019-11,17594.0
11-14 Days (Number),group,monthly,2019-12,19879.0
11-14 Days (Number),group,monthly,2020-01,30907.0
11-14 Days (Number),group,monthly,2020-02,16475.0
11-14 Days (Number),group,monthly,2020-03,6130.0
11-14 Days (Number),group,monthly,2020-04,17.0
11-14 Days (Number),group,monthly,2020-05,3.0
11-14 Days (Number),group,monthly,2020-06,6.0
11-14 Days (Number),group,monthly,2020-07,20.0
11-14 Days (Number),group,monthly,2020-08,11.0
11-14 Days (Number),group,monthly,2020-09,94.0
11-14 Days (Number),group,monthly,2020-10,167.0
11-14 Days (Number),group,monthly,2020-11,247.0
11-14 Days (Number),group,monthly,2020-12,429.0
11-14 Days (Number),group,monthly,2021-01,609.0
11-14 Days (Number),group,monthly,2021-02,438.0
11-14 Days (Number),group,monthly,2021-03,655.0
11-14 Days (Number),group,monthly,2021-04,681.0
11-14 Days (Number),group,monthly,2021-05,651.0
11-14 Days (Number),group,monthly,2021-06,413.0
11-14 Days (Number),group,monthly,2021-07,564.0
11-14 Days (Number),group,monthly,2021-08,405.0
11-14 Days (Number),group,monthly,2021-09,627.0
11-14 Days (Number),group,monthly,2021-10,685.0
11-14 Days (Number),group,monthly,2021-11,1191.0
11-14 Days (Number),group,monthly,2021-12,2751.0
11-14 Days (Number),group,monthly,2022-01,4197.0
11-14 Days (Number),group,monthly,2022-02,3741.0
11-14 Days (Number),group,monthly,2022-03,5902.0
11-14 Days (Number),group,monthly,2022-04,10748.0
11-14 Days (Number),group,monthly,2022-05,14922.0
11-14 Days (Number),group,monthly,2022-06,15306.0
11-14 Days (Number),group,monthly,2022-07,19508.0
11-14 Days (Number),group,monthly,2022-08,17264.0
11-14 Days (Number),group,monthly,2022-09,14734.0
11-14 Days (Number),group,monthly,2022-10,18215.0
11-14 Days (Number),group,monthly,2022-11,15127.0
11-14 Days (Number),group,monthly,2022-12,18087.0
11-14 Days (Number),group,monthly,2023-01,25198.0
11-14 Days (Number),group,monthly,2023-02,15404.0
11-14 Days (Number),group,monthly,2023-03,17442.0
11-14 Days (Number),group,monthly,2023-04,18301.0
11-14 Days (Number),group,monthly,2023-05,17940.0
11-14 Days (Number),group,monthly,2023-06,18433.0
11-14 Days (Number),group,monthly,2023-07,25987.0
11-14 Days (Number),group,monthly,2023-08,24048.0
11-14 Days (Number),group,monthly,2023-09,16837.0
11-14 Days (Number),group,monthly,2023-10,16519.0
11-14 Days (Number),group,monthly,2023-11,15348.0
11-14 Days (Number),group,monthly,2023-12,19370.0
11-14 Days (Number),group,monthly,2024-01,24519.0
11-14 Days (Number),group,monthly,2024-02,22216.0
11-14 Days (Number),group,monthly,2024-03,19061.0
11-14 Days (Number),group,monthly,2024-04,19262.0
11-14 Days (Number),group,monthly,2024-05,19032.0
11-14 Days (Number),group,monthly,2024-06,21089.0
11-14 Days (Number),group,monthly,2024-07,27824.0
11-14 Days (Number),group,monthly,2024-08,25365.0
11-14 Days (Number),group,monthly,2024-09,17624.0
11-14 Days (Number),group,monthly,2024-10,18063.0
11-14 Days (Number),group,monthly,2024-11,17686.0
11-14 Days (Number),group,monthly,2024-12,20241.0
11-14 Days (Number),group,monthly,2025-01,26782.0
11-14 Days (Number),group,monthly,2025-02,20551.0
11-14 Days (Number),group,monthly,2025-03,18766.0
11-14 Days (Number),group,monthly,2025-04,19874.0
11-14 Days (Number),group,monthly,2025-05,20579.0
11-14 Days (Number),group,monthly,2025-06,19163.0
11-14 Days (Number),group,monthly,2025-07,25957.0
11-14 Days (Number),group,monthly,2025-08,26702.0
11-14 Days (Number),group,monthly,2025-09,17241.0
11-14 Days (Number),group,monthly,2025-10,18833.0
11-14 Days (Number),group,monthly,2025-11,17296.0
11-14 Days (Number),group,monthly,2025-12,19564.0
11-14 Days (Number),group,monthly,2026-01,27254.0
11-14 Days (Number),group,monthly,2026-02,21310.0
11-14 Days (Number),group,monthly,2026-03,20275.0
11-14 Days (Number),group,monthly,2026-04,18148.0
11-14 Days (Number),group,monthly,2026-05,18554.0
11-14 Days (Number),group,monthly,2026-06,18223.0
15-29 Days (Number),group,monthly,2008-01,28847.0
15-29 Days (Number),group,monthly,2008-02,24980.0
15-29 Days (Number),group,monthly,2008-03,26429.0
15-29 Days (Number),group,monthly,2008-04,23140.0
15-29 Days (Number),group,monthly,2008-05,26902.0
15-29 Days (Number),group,monthly,2008-06,25290.0
15-29 Days (Number),group,monthly,2008-07,29158.0
15-29 Days (Number),group,monthly,2008-08,29033.0
15-29 Days (Number),group,monthly,2008-09,22239.0
15-29 Days (Number),group,monthly,2008-10,23995.0
15-29 Days (Number),group,monthly,2008-11,21142.0
