series,year,value
Jurong Lake Gardens,2011,963.0
Jurong Lake Gardens,2010,874.5
Jurong Lake Gardens,2009,841.1
Jurong Lake Gardens,2008,666.7
Jurong Lake Gardens,2007,543.3
Jurong Lake Gardens,2006,698.7
Jurong Lake Gardens,2005,740.4
Jurong Lake Gardens,2004,598.8
Jurong Lake Gardens,2003,452.8
Jurong Lake Gardens,2002,480.4
Jurong Lake Gardens,2001,245.6
Jurong Lake Gardens,2000,205.8
Jurong Lake Gardens,1999,209.7
Jurong Lake Gardens,1998,216.5
Jurong Lake Gardens,1997,247.6
Gardens By The Bay,1996,
Gardens By The Bay,1995,
Gardens By The Bay,1994,
Gardens By The Bay,1993,
Gardens By The Bay,1992,
Gardens By The Bay,1991,
Gardens By The Bay,1990,
Gardens By The Bay,1989,
Gardens By The Bay,1988,
Gardens By The Bay,1987,
Gardens By The Bay,1986,
Gardens By The Bay,1985,
Gardens By The Bay,1984,
Gardens By The Bay,2024,14505.5
Gardens By The Bay,2023,10742.7
Gardens By The Bay,2022,8742.7
Gardens By The Bay,2021,8285.4
Gardens By The Bay,2020,6811.6
Gardens By The Bay,2019,13712.7
Gardens By The Bay,2018,12383.3
Gardens By The Bay,2017,9680.2
Gardens By The Bay,2016,8763.4
Gardens By The Bay,2015,8514.5
Gardens By The Bay,2014,6375.1
Gardens By The Bay,2013,4550.3
Gardens By The Bay,2012,2920.1
Gardens By The Bay,2011,
Gardens By The Bay,2010,
Gardens By The Bay,2009,
Gardens By The Bay,2008,
Gardens By The Bay,2007,
Gardens By The Bay,2006,
Gardens By The Bay,2005,
Gardens By The Bay,2004,
Gardens By The Bay,2003,
Gardens By The Bay,2002,
Gardens By The Bay,2001,
Gardens By The Bay,2000,
Gardens By The Bay,1999,
Gardens By The Bay,1998,
Gardens By The Bay,1997,
Sentosa,1996,4100.0
Sentosa,1995,3900.0
Sentosa,1994,4100.0
Sentosa,1993,4000.0
Sentosa,1992,3600.0
Sentosa,1991,3300.0
Sentosa,1990,2600.0
Sentosa,1989,2600.0
Sentosa,1988,2600.0
Sentosa,1987,2100.0
Sentosa,1986,1700.0
Sentosa,1985,1600.0
Sentosa,1984,1700.0
Sentosa,2024,16900.0
Sentosa,2023,16700.0
Sentosa,2022,13000.0
Sentosa,2021,9400.0
Sentosa,2020,8600.0
Sentosa,2019,18800.0
Sentosa,2018,19700.0
Sentosa,2017,19100.0
Sentosa,2016,19300.0
Sentosa,2015,19500.0
Sentosa,2014,19400.0
Sentosa,2013,18600.0
Sentosa,2012,20500.0
Sentosa,2011,19000.0
Sentosa,2010,19100.0
Sentosa,2009,7800.0
Sentosa,2008,6100.0
Sentosa,2007,6100.0
Sentosa,2006,5700.0
Sentosa,2005,5200.0
Sentosa,2004,5100.0
Sentosa,2003,4200.0
Sentosa,2002,4100.0
Sentosa,2001,3800.0
Sentosa,2000,3400.0
Sentosa,1999,3400.0
Sentosa,1998,3300.0
Sentosa,1997,3500.0
Indian Heritage Centre (In-Person),1996,
Indian Heritage Centre (In-Person),1995,
Indian Heritage Centre (In-Person),1994,
Indian Heritage Centre (In-Person),1993,
Indian Heritage Centre (In-Person),1992,
Indian Heritage Centre (In-Person),1991,
Indian Heritage Centre (In-Person),1990,
Indian Heritage Centre (In-Person),1989,
Indian Heritage Centre (In-Person),1988,
Indian Heritage Centre (In-Person),1987,
Indian Heritage Centre (In-Person),1986,
Indian Heritage Centre (In-Person),1985,
Indian Heritage Centre (In-Person),1984,
Indian Heritage Centre (In-Person),2024,223.3
Indian Heritage Centre (In-Person),2023,205.8
Indian Heritage Centre (In-Person),2022,114.3
Indian Heritage Centre (In-Person),2021,55.0
Indian Heritage Centre (In-Person),2020,54.4
Indian Heritage Centre (In-Person),2019,236.0
Indian Heritage Centre (In-Person),2018,221.1
Indian Heritage Centre (In-Person),2017,176.6
Indian Heritage Centre (In-Person),2016,146.1
Indian Heritage Centre (In-Person),2015,195.0
Indian Heritage Centre (In-Person),2014,
Indian Heritage Centre (In-Person),2013,
Indian Heritage Centre (In-Person),2012,
Indian Heritage Centre (In-Person),2011,
Indian Heritage Centre (In-Person),2010,
Indian Heritage Centre (In-Person),2009,
Indian Heritage Centre (In-Person),2008,
Indian Heritage Centre (In-Person),2007,
Indian Heritage Centre (In-Person),2006,
Indian Heritage Centre (In-Person),2005,
Indian Heritage Centre (In-Person),2004,
Indian Heritage Centre (In-Person),2003,
Indian Heritage Centre (In-Person),2002,
Indian Heritage Centre (In-Person),2001,
Indian Heritage Centre (In-Person),2000,
Indian Heritage Centre (In-Person),1999,
Indian Heritage Centre (In-Person),1998,
Indian Heritage Centre (In-Person),1997,
Malay Heritage Centre (In-Person),1996,
Malay Heritage Centre (In-Person),1995,
Malay Heritage Centre (In-Person),1994,
Malay Heritage Centre (In-Person),1993,
Malay Heritage Centre (In-Person),1992,
Malay Heritage Centre (In-Person),1991,
Malay Heritage Centre (In-Person),1990,
Malay Heritage Centre (In-Person),1989,
Malay Heritage Centre (In-Person),1988,
Malay Heritage Centre (In-Person),1987,
Malay Heritage Centre (In-Person),1986,
Malay Heritage Centre (In-Person),1985,
Malay Heritage Centre (In-Person),1984,
Malay Heritage Centre (In-Person),2024,0.0
Malay Heritage Centre (In-Person),2023,
Malay Heritage Centre (In-Person),2022,196.6
Malay Heritage Centre (In-Person),2021,87.2
Malay Heritage Centre (In-Person),2020,145.0
Malay Heritage Centre (In-Person),2019,761.3
Malay Heritage Centre (In-Person),2018,728.9
Malay Heritage Centre (In-Person),2017,697.8
Malay Heritage Centre (In-Person),2016,508.2
Malay Heritage Centre (In-Person),2015,497.0
Malay Heritage Centre (In-Person),2014,166.5
Malay Heritage Centre (In-Person),2013,152.3
Malay Heritage Centre (In-Person),2012,185.8
Malay Heritage Centre (In-Person),2011,14.0
Malay Heritage Centre (In-Person),2010,
Malay Heritage Centre (In-Person),2009,
Malay Heritage Centre (In-Person),2008,
Malay Heritage Centre (In-Person),2007,
Malay Heritage Centre (In-Person),2006,
Malay Heritage Centre (In-Person),2005,
Malay Heritage Centre (In-Person),2004,
Malay Heritage Centre (In-Person),2003,
Malay Heritage Centre (In-Person),2002,
Malay Heritage Centre (In-Person),2001,
Malay Heritage Centre (In-Person),2000,
Malay Heritage Centre (In-Person),1999,
Malay Heritage Centre (In-Person),1998,
Malay Heritage Centre (In-Person),1997,
National Gallery Singapore (In-Person),1996,
National Gallery Singapore (In-Person),1995,
National Gallery Singapore (In-Person),1994,
National Gallery Singapore (In-Person),1993,
National Gallery Singapore (In-Person),1992,
National Gallery Singapore (In-Person),1991,
National Gallery Singapore (In-Person),1990,
National Gallery Singapore (In-Person),1989,
National Gallery Singapore (In-Person),1988,
National Gallery Singapore (In-Person),1987,
National Gallery Singapore (In-Person),1986,
National Gallery Singapore (In-Person),1985,
National Gallery Singapore (In-Person),1984,
National Gallery Singapore (In-Person),2024,2040.5
National Gallery Singapore (In-Person),2023,1723.9
National Gallery Singapore (In-Person),2022,1262.2
National Gallery Singapore (In-Person),2021,748.5
National Gallery Singapore (In-Person),2020,736.1
National Gallery Singapore (In-Person),2019,1817.3
National Gallery Singapore (In-Person),2018,1732.7
National Gallery Singapore (In-Person),2017,1849.7
National Gallery Singapore (In-Person),2016,1585.3
National Gallery Singapore (In-Person),2015,275.6
National Gallery Singapore (In-Person),2014,
National Gallery Singapore (In-Person),2013,
National Gallery Singapore (In-Person),2012,
National Gallery Singapore (In-Person),2011,
National Gallery Singapore (In-Person),2010,40.0
National Gallery Singapore (In-Person),2009,
National Gallery Singapore (In-Person),2008,
National Gallery Singapore (In-Person),2007,
National Gallery Singapore (In-Person),2006,
National Gallery Singapore (In-Person),2005,
National Gallery Singapore (In-Person),2004,
National Gallery Singapore (In-Person),2003,
National Gallery Singapore (In-Person),2002,
National Gallery Singapore (In-Person),2001,
National Gallery Singapore (In-Person),2000,
National Gallery Singapore (In-Person),1999,
National Gallery Singapore (In-Person),1998,
National Gallery Singapore (In-Person),1997,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1996,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1995,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1994,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1993,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1992,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1991,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1990,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1989,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1988,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1987,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1986,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1985,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1984,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2024,49.6
Sun Yat Sen Nanyang Memorial Hall (In-Person),2023,61.3
Sun Yat Sen Nanyang Memorial Hall (In-Person),2022,50.3
Sun Yat Sen Nanyang Memorial Hall (In-Person),2021,132.6
Sun Yat Sen Nanyang Memorial Hall (In-Person),2020,110.2
Sun Yat Sen Nanyang Memorial Hall (In-Person),2019,219.4
Sun Yat Sen Nanyang Memorial Hall (In-Person),2018,213.8
Sun Yat Sen Nanyang Memorial Hall (In-Person),2017,122.0
Sun Yat Sen Nanyang Memorial Hall (In-Person),2016,133.2
Sun Yat Sen Nanyang Memorial Hall (In-Person),2015,97.3
Sun Yat Sen Nanyang Memorial Hall (In-Person),2014,92.3
Sun Yat Sen Nanyang Memorial Hall (In-Person),2013,101.5
Sun Yat Sen Nanyang Memorial Hall (In-Person),2012,99.4
Sun Yat Sen Nanyang Memorial Hall (In-Person),2011,81.1
Sun Yat Sen Nanyang Memorial Hall (In-Person),2010,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2009,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2008,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2007,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2006,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2005,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2004,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2003,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2002,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2001,
Sun Yat Sen Nanyang Memorial Hall (In-Person),2000,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1999,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1998,
Sun Yat Sen Nanyang Memorial Hall (In-Person),1997,
Children's Museum Singapore,1996,
Children's Museum Singapore,1995,
Children's Museum Singapore,1994,
Children's Museum Singapore,1993,
Children's Museum Singapore,1992,
Children's Museum Singapore,1991,
Children's Museum Singapore,1990,
Children's Museum Singapore,1989,
Children's Museum Singapore,1988,
Children's Museum Singapore,1987,
Children's Museum Singapore,1986,
Children's Museum Singapore,1985,
Children's Museum Singapore,1984,
Children's Museum Singapore,2024,219.1
Children's Museum Singapore,2023,219.0
Children's Museum Singapore,2022,10.7
Children's Museum Singapore,2021,
Children's Museum Singapore,2020,
Children's Museum Singapore,2019,
Children's Museum Singapore,2018,
Children's Museum Singapore,2017,
Children's Museum Singapore,2016,
Children's Museum Singapore,2015,
Children's Museum Singapore,2014,
Children's Museum Singapore,2013,
Children's Museum Singapore,2012,
Children's Museum Singapore,2011,
Children's Museum Singapore,2010,
Children's Museum Singapore,2009,
Children's Museum Singapore,2008,
Children's Museum Singapore,2007,
Children's Museum Singapore,2006,
Children's Museum Singapore,2005,
Children's Museum Singapore,2004,
Children's Museum Singapore,2003,
